Node,Depth,Value
root,0,-Infinity
A2,1,-Infinity
A4,1,-Infinity
A2,1,-Infinity
A3,1,Infinity
B3,2,9
A3,1,9
B4,2,4
A3,1,4
A2,1,4
A5,1,Infinity
B2,2,Infinity
B3,2,5
B2,2,5
B4,2,6
B2,2,5
B5,2,Infinity
B3,2,4
B5,2,4
B4,2,4
B5,2,4
B2,2,4
A5,1,4
B3,2,6
A5,1,4
A2,1,4
A4,1,4
A3,1,Infinity
B2,2,Infinity
B3,2,2
B2,2,2
B4,2,Infinity
B3,2,1
B4,2,1
B5,2,1
B4,2,1
B2,2,1
B5,2,Infinity
B3,2,1
B5,2,1
B4,2,Infinity
B3,2,0
B4,2,0
B5,2,Infinity
B3,2,-1
B5,2,-1
B4,2,-1
B5,2,-1
B2,2,-1
A3,1,-1
B3,2,3
A3,1,-1
B4,2,2
A3,1,-1
A4,1,4
A5,1,Infinity
B2,2,Infinity
B3,2,4
B2,2,4
B4,2,5
B2,2,4
B5,2,Infinity
B3,2,3
B5,2,3
B4,2,3
B5,2,3
B2,2,3
A5,1,3
B3,2,5
A5,1,3
A4,1,4
A2,1,4
A5,1,Infinity
B2,2,Infinity
B3,2,1
B2,2,1
B4,2,Infinity
B3,2,0
B4,2,0
B5,2,0
B4,2,0
B2,2,0
B5,2,Infinity
B3,2,0
B5,2,0
B4,2,Infinity
B3,2,-1
B4,2,-1
B5,2,Infinity
B3,2,-2
B5,2,-2
B4,2,-2
B5,2,-2
B2,2,-2
A5,1,-2
B3,2,2
A5,1,-2
B4,2,2
A5,1,-2
A2,1,4
root,0,4
A4,1,-Infinity
A2,1,Infinity
B2,2,3
A2,1,3
B3,2,3
A2,1,3
B4,2,2
A2,1,2
A4,1,2
A3,1,Infinity
B2,2,Infinity
B3,2,1
B2,2,1
B4,2,Infinity
B3,2,0
B4,2,0
B5,2,0
B4,2,0
B2,2,0
B5,2,Infinity
B3,2,0
B5,2,0
B4,2,Infinity
B3,2,-1
B4,2,-1
B5,2,Infinity
B3,2,-2
B5,2,-2
B4,2,-2
B5,2,-2
B2,2,-2
A3,1,-2
B3,2,2
A3,1,-2
B4,2,1
A3,1,-2
A4,1,2
A5,1,Infinity
B2,2,Infinity
B3,2,3
B2,2,3
B4,2,4
B2,2,3
B5,2,Infinity
B3,2,2
B5,2,2
B4,2,2
B5,2,2
B2,2,2
A5,1,2
B3,2,4
A5,1,2
A4,1,2
root,0,4
A5,1,Infinity
B2,2,Infinity
B3,2,0
B2,2,0
B4,2,Infinity
B3,2,-1
B4,2,-1
B5,2,-1
B4,2,-1
B2,2,-1
B5,2,Infinity
B3,2,-1
B5,2,-1
B4,2,Infinity
B3,2,-2
B4,2,-2
B5,2,Infinity
B3,2,-3
B5,2,-3
B4,2,-3
B5,2,-3
B2,2,-3
A5,1,-3
B3,2,1
A5,1,-3
B4,2,1
A5,1,-3
root,0,4
